Word_Count,Keyword_Density,Meta_Title_Length,Meta_Desc_Length,Alt_Tag_Percent,SEO_Score
2269,2.54,44,165,36,80
2498,2.95,60,81,41,70
1738,2.7,57,139,43,70
1934,1.2,39,146,63,63
562,0.76,36,172,68,55
2087,0.78,62,173,93,68
2491,1.23,36,177,41,69
923,2.04,34,130,63,55
1316,2.51,55,103,56,67
1180,2.75,45,156,51,68
2349,2.06,37,174,47,73
1627,0.51,51,178,75,64
752,0.97,63,150,73,65
1483,0.75,69,114,47,53
2356,1.41,57,129,66,68
1982,1.75,65,134,36,71
1454,0.61,36,140,97,66
703,1.37,69,82,89,56
2499,0.95,57,147,77,75
2401,2.12,31,150,80,71
1996,1.66,38,163,81,75
927,1.74,35,117,81,63
886,1.57,30,180,83,61
1948,2.89,32,118,70,79
1743,1.04,39,167,71,62
1745,1.79,66,160,51,71
403,2.34,52,127,68,63
553,1.89,62,158,52,56
1796,2.82,38,177,77,74
398,1.44,42,168,62,56
2500,1.66,57,142,70,72
2184,0.72,36,139,59,52
2219,2.02,55,130,76,79
1177,1.22,45,95,86,64
637,0.9,69,171,86,67
1256,1.86,55,108,91,61
2004,1.83,68,127,86,78
460,0.69,61,96,97,51
1903,2.25,65,109,54,66
697,2.06,30,100,69,54
1600,0.97,50,72,46,48
1115,1.67,42,157,77,63
1827,2.3,55,84,68,73
2219,1.82,38,123,44,70
1715,1.49,66,139,46,63
1458,1.31,52,80,64,54
1518,2.03,30,99,62,57
700,2.85,31,104,47,59
939,2.18,57,171,59,70
759,0.69,65,112,66,47
1254,1.65,60,130,36,57
769,2.73,70,109,57,59
1345,0.74,34,162,47,43
1993,2.97,66,156,76,81
2385,2.87,54,111,52,76
862,0.7,37,111,49,45
2099,2.83,63,72,60,69
2374,1.41,68,159,43,70
525,2.61,61,147,52,66
1097,1.55,40,152,31,61
1259,1.6,54,154,58,63
1804,2.09,32,90,79,65
752,2.44,61,142,88,69
1115,0.58,64,146,62,65
958,1.98,61,174,77,75
846,0.97,63,122,73,50
1515,1.36,66,113,41,65
316,1.37,34,115,71,51
1543,1.67,57,106,64,64
1369,1.34,57,107,70,63
2446,0.77,37,178,84,76
2068,0.86,56,178,42,60
1360,0.58,45,157,68,54
601,1.68,47,107,95,59
480,2.89,54,179,64,65
906,0.79,30,80,62,45
999,2.87,37,162,65,69
1292,2.33,50,114,42,59
1439,2.09,63,133,85,70
490,2.11,53,113,75,60
1280,2.57,66,171,75,80
2306,0.77,55,174,73,75
1484,1.76,43,150,75,72
427,2.24,58,131,98,62
2365,1.97,59,159,60,79
2116,2.58,32,130,53,76
2058,0.68,36,159,61,58
869,2.23,65,81,96,66
1646,1.84,40,151,45,60
2195,1.45,61,78,86,71
925,1.35,41,136,53,54
1986,2.05,44,143,63,75
454,2.73,67,176,81,75
1709,1.74,53,71,77,69
1084,2.56,30,77,82,64
545,1.51,47,112,84,62
1800,0.76,36,87,67,48
2005,0.65,70,121,31,63
837,0.63,31,108,98,47
2190,1.45,69,100,82,69
2141,1.34,60,83,79,64
1220,2.29,62,133,58,66
824,2.36,59,172,84,84
1829,0.63,60,166,90,71
335,1.05,63,162,79,61
984,1.19,36,113,45,37
319,1.87,54,129,99,70
699,0.86,45,166,73,50
1271,0.83,51,168,45,55
2206,2.86,65,71,57,71
1466,2.51,56,168,86,81
1415,0.95,46,101,55,58
1133,1.52,33,105,40,43
2123,1.39,64,179,30,64
2282,2.48,70,124,98,87
1153,1.78,51,156,72,74
350,0.82,64,132,75,50
874,2.35,44,138,65,60
1448,1.49,69,180,95,78
2497,1.16,50,149,86,74
2015,1.44,42,109,35,51
981,1.74,40,93,91,57
1137,1.36,56,127,56,47
1377,1.1,60,173,55,63
1895,1.5,61,97,42,53
304,0.55,59,131,47,55
1426,2.43,47,94,67,68
1519,0.93,45,76,35,46
1073,0.61,64,107,57,53
1176,2.13,38,140,34,55
1291,2.43,68,155,88,79
346,2.53,66,155,74,72
568,1.73,39,160,82,56
669,1.01,41,166,31,50
935,2.34,37,114,78,73
1429,2.25,32,101,92,59
1993,1.12,48,172,99,77
1982,2.76,40,101,87,71
956,0.76,37,70,33,39
419,2.96,55,143,59,69
1130,2.65,52,114,86,81
2110,2.22,39,133,76,82
1381,2.85,47,137,47,62
2274,2.31,41,162,73,82
1669,0.98,68,76,81,64
1040,1.61,55,107,78,66
416,0.68,40,139,59,47
2153,1.47,39,122,81,70
1450,2.35,32,144,66,62
2231,1.47,36,142,92,74
1312,1.33,33,99,41,46
1964,1.99,69,91,46,69
1381,2.68,37,127,63,67
933,0.62,67,172,57,59
812,1.46,42,142,33,53
1419,0.9,41,124,75,59
1441,2.24,64,171,43,67
859,0.76,67,115,42,60
787,2.16,65,166,87,75
1196,1.22,31,95,78,55
1512,1.0,44,133,79,60
1003,2.84,63,149,96,75
1770,0.55,68,78,50,55
880,1.59,55,156,80,66
453,0.55,34,84,67,42
1979,1.71,54,88,55,59
1296,1.75,63,175,35,63
1543,1.3,33,85,47,50
1392,0.83,63,94,35,49
1308,1.44,56,168,70,65
2441,2.18,58,120,86,82
2073,2.46,34,146,79,83
1257,1.83,47,115,54,61
752,1.97,33,76,77,59
1527,1.0,30,103,53,48
850,1.22,49,127,59,53
1935,0.9,35,147,74,62
1612,1.12,49,92,72,55
2057,1.06,49,92,85,64
656,1.8,56,86,99,69
2370,1.91,55,82,62,76
2085,2.86,61,96,74,85
2081,0.99,39,135,36,56
1931,2.1,47,170,47,67
1315,2.54,70,99,99,89
1648,1.9,41,73,74,58
815,1.14,39,163,66,63
635,1.16,53,136,50,53
2082,0.6,53,83,73,51
796,1.26,67,80,59,44
1195,2.36,54,109,40,67
1151,0.62,37,156,37,44
1987,1.05,43,174,34,53
2231,2.27,60,165,37,74
1868,2.46,53,72,34,61
1256,1.64,45,175,39,62
1936,2.25,49,70,44,62
1591,1.47,67,78,85,61
1740,0.9,44,142,84,63
1491,1.5,43,145,32,64
1366,1.95,41,70,70,52
584,2.87,63,85,39,61
311,0.67,37,163,36,36
1930,1.77,48,141,92,72
1053,1.32,34,179,92,70
2382,1.77,56,115,55,59
389,0.56,70,79,63,54
1075,1.28,42,102,68,46
1925,2.55,61,171,89,76
717,1.88,60,110,98,66
414,1.63,70,120,55,54
916,1.21,66,91,91,56
1125,1.25,31,85,39,46
1949,1.46,36,152,83,64
1816,2.59,40,144,60,75
712,2.92,40,131,67,70
1028,1.6,52,122,54,50
975,1.48,60,144,94,72
2192,2.62,37,83,79,76
1422,1.57,61,172,53,75
1871,1.88,50,128,56,66
1277,1.08,60,95,79,54
1308,2.36,30,113,79,71
2443,1.83,42,89,44,62
1987,2.52,40,153,46,80
336,2.45,58,74,58,58
1848,1.04,33,134,34,52
1172,2.29,65,80,40,54
2121,2.5,44,116,81,75
1596,1.37,32,79,63,57
2409,0.93,58,130,62,58
895,0.51,50,180,78,55
2203,1.63,31,161,60,59
1028,1.38,35,114,47,44
1665,1.89,60,116,34,58
696,0.97,53,103,59,46
998,2.65,69,82,74,70
1935,1.14,46,177,67,71
695,1.07,34,158,58,57
375,1.7,31,92,65,55
564,1.75,41,105,38,53
2119,1.04,34,132,52,56
1017,1.18,70,145,32,56
1150,0.92,49,116,85,54
1690,2.3,37,178,69,75
443,2.43,30,135,85,61
1184,1.66,35,153,87,59
695,2.29,40,149,60,69
1792,2.34,32,83,40,66
1467,0.85,60,122,71,55
1362,2.92,57,135,32,71
2456,2.55,34,118,86,74
1365,1.01,55,85,43,48
1509,0.97,45,137,75,57
933,0.81,60,112,48,45
1456,0.85,57,146,89,65
1538,2.37,36,171,60,61
1032,1.67,67,134,65,61
534,2.46,38,78,61,73
1050,2.37,68,90,92,63
1253,2.01,64,151,55,66
1842,2.22,56,176,94,85
1497,0.55,41,165,31,48
1976,1.28,54,179,99,73
1491,2.09,58,167,74,79
1716,0.52,60,153,54,59
1517,0.58,63,112,69,53
1840,2.63,62,135,47,78
2376,2.21,56,73,41,63
1745,1.16,31,178,53,56
1819,2.22,43,171,72,78
1688,2.48,42,76,61,57
2156,1.27,53,155,76,80
1665,0.59,34,153,74,64
799,2.83,63,127,64,73
1980,1.36,52,168,38,61
810,0.77,48,73,39,33
516,1.73,59,89,94,47
1624,2.42,45,104,88,80
1455,1.05,69,166,86,65
2127,1.17,63,128,39,64
2110,1.11,40,154,48,62
1505,2.98,43,114,79,66
390,0.99,44,83,97,46
1013,1.94,64,164,34,57
2181,2.81,36,91,58,74
338,0.87,58,117,34,46
472,2.93,51,99,89,66
952,2.87,52,98,94,68
1053,2.71,53,105,57,66
1543,1.04,64,111,30,58
1381,2.09,39,98,58,51
1983,2.4,37,76,80,78
755,2.97,41,101,65,62
1128,0.95,58,82,61,50
1194,2.42,58,82,93,77
1684,1.35,52,123,43,57
2258,0.94,55,83,61,58
2296,1.55,66,75,38,56
489,2.48,61,85,40,52
804,1.66,67,110,77,58
1514,1.84,35,121,80,55
1831,2.99,37,154,33,60
1123,1.5,46,177,70,63
1228,2.04,41,85,54,48
1233,1.41,51,74,46,53
1440,1.48,43,93,76,57
433,2.24,63,112,37,47
2405,2.84,48,134,87,93
984,1.86,35,79,30,43
2152,2.42,47,176,31,75
1114,0.72,65,180,39,64
1472,1.03,66,128,56,59
379,1.76,67,104,42,52
502,0.55,44,100,92,54
1552,1.13,67,148,40,59
1999,1.79,69,80,43,68
1550,0.54,38,78,55,44
1982,1.16,35,135,98,68
1855,1.79,31,113,68,63
2394,1.93,45,163,57,72
1556,2.81,30,85,46,58
1849,2.11,59,117,66,67
1466,1.54,62,122,56,56
1696,2.83,30,134,96,75
770,2.46,68,117,97,72
1335,1.0,45,139,76,61
1653,0.83,46,115,63,54
1267,2.19,67,144,47,73
657,1.9,47,102,64,60
967,2.47,51,121,47,68
672,2.35,51,150,99,71
1331,2.06,64,124,63,65
1445,2.97,60,120,62,68
1671,1.83,69,167,72,82
389,0.78,56,179,56,46
839,2.57,65,109,77,65
1168,1.13,33,94,98,57
340,2.44,34,132,100,63
1039,2.89,54,91,51,71
2246,2.24,60,159,63,75
1524,1.99,43,160,72,70
1228,1.65,59,107,45,47
2336,1.41,41,78,43,62
1224,1.38,56,106,68,50
1881,2.09,53,74,100,84
689,2.38,59,151,41,62
1917,2.2,47,91,84,69
555,1.0,43,179,35,48
1008,1.73,48,81,69,50
2138,2.48,51,129,42,74
2244,1.69,55,113,98,73
309,1.84,36,91,53,44
1097,2.43,57,75,88,73
1176,2.15,67,169,75,66
1328,1.52,34,96,73,54
1315,2.74,65,180,40,74
2124,0.91,47,124,90,67
673,2.99,43,84,65,59
2493,0.8,52,133,39,58
523,0.54,43,86,30,42
1562,2.73,61,72,92,77
2102,1.11,34,79,41,46
1152,2.32,51,132,34,64
362,2.53,57,132,65,64
1540,2.65,41,158,46,73
988,2.98,47,131,87,73
1784,1.24,65,154,51,61
1933,2.28,60,173,60,70
2452,0.79,42,78,55,60
810,1.52,49,93,42,51
684,2.62,65,101,92,72
704,1.42,36,72,96,55
817,1.98,52,102,92,70
775,1.76,63,112,40,46
2300,2.11,61,178,98,88
1968,2.93,50,81,93,69
2193,0.64,35,162,97,65
1760,1.93,45,154,61,70
1013,2.66,64,172,39,69
382,1.7,49,167,83,71
1468,0.7,70,166,84,66
2201,1.9,40,101,91,67
2348,1.33,61,89,84,69
350,0.89,43,136,64,42
984,2.62,53,137,96,71
1016,1.8,68,86,94,70
1769,2.83,60,150,46,81
748,2.52,46,88,71,61
1180,2.23,54,73,88,68
787,0.51,38,162,99,66
2123,1.57,51,86,40,58
2381,0.99,64,133,57,62
2442,2.78,66,91,68,83
1874,0.94,46,135,83,68
549,1.22,57,111,40,51
973,1.79,30,145,87,68
737,1.16,38,114,69,55
2465,1.02,42,80,33,55
1070,2.0,61,122,93,73
567,0.72,57,173,77,59
2284,0.65,60,129,99,62
1377,1.43,37,98,60,45
535,2.3,37,89,31,42
688,1.89,63,74,72,61
1062,1.56,52,94,70,54
2148,1.91,39,103,89,71
923,1.41,66,81,75,65
1552,2.84,54,97,69,77
877,0.64,62,167,88,50
2422,2.18,33,75,74,71
734,2.73,36,88,71,60
2450,2.51,62,81,50,69
1063,0.96,31,94,32,38
1629,1.24,61,82,95,62
2445,2.29,34,150,40,64
1658,0.71,46,145,53,56
746,2.53,41,72,79,70
2317,2.3,41,93,50,71
1631,2.32,64,77,54,55
548,0.75,50,169,33,48
465,2.29,50,159,72,67
1658,2.2,31,114,76,61
1319,2.58,50,141,52,62
841,0.6,44,165,89,61
1058,0.56,40,165,50,50
2428,1.43,39,70,95,64
2480,0.87,47,72,80,64
1096,1.9,52,134,44,70
437,2.79,60,84,87,67
1653,1.48,55,119,55,63
2175,2.61,31,89,88,73
368,0.5,68,72,74,42
2400,0.92,36,130,95,72
1773,0.58,53,84,64,51
504,1.32,68,128,93,64
2473,2.77,61,123,56,88
342,0.74,55,129,60,50
2206,2.02,52,106,41,59
2458,1.63,43,90,74,60
1060,2.85,58,175,61,82
2442,0.81,54,172,83,73
2294,1.03,60,92,95,70
2235,0.57,31,173,61,56
1199,1.58,31,168,44,59
659,1.19,52,87,84,62
2019,2.67,40,86,70,71
580,2.01,58,100,69,61
2187,2.04,64,133,78,84
966,1.83,38,117,67,65
392,0.73,61,95,85,46
971,1.61,59,91,63,58
2269,3.0,44,114,30,77
360,2.59,43,105,39,60
1328,2.73,46,133,69,69
1789,2.56,51,104,45,63
903,0.76,59,144,75,56
981,1.07,46,160,53,53
1728,0.51,45,167,43,53
823,1.26,37,151,68,57
2268,0.77,68,96,47,56
1401,1.68,60,137,70,75
2053,2.19,41,86,85,67
2136,2.69,62,139,65,78
2394,2.37,41,175,53,71
1444,2.85,54,80,58,73
1379,0.63,67,74,51,42
406,0.53,47,127,40,42
347,2.15,48,151,70,65
636,1.22,32,126,78,37
1349,1.13,64,158,40,52
1580,1.33,34,143,81,61
2355,1.17,64,174,96,90
924,1.78,56,149,37,56
2190,1.6,66,143,60,70
1576,1.78,50,143,35,57
2015,2.18,45,169,100,78
602,1.47,57,154,42,51
938,1.13,54,83,35,41
355,0.92,62,141,96,55
1025,1.37,46,70,56,44
825,2.35,59,85,74,61
773,2.39,70,95,55,67
327,2.17,33,118,33,41
2425,1.09,31,111,66,57
664,1.97,38,139,50,52
825,1.93,60,172,57,66
1635,1.71,54,135,61,62
1182,1.87,66,122,82,79
1330,1.73,65,78,62,62
1326,1.91,34,138,55,65
1946,2.29,53,109,46,68
1218,0.77,53,125,85,65
2074,2.37,58,74,59,63
1831,0.84,60,125,34,52
2206,0.67,66,180,35,60
1515,2.94,48,141,91,79
1954,2.89,52,74,39,74
784,0.65,64,138,99,71
2375,1.61,35,121,39,65
1013,0.97,35,150,73,54
1362,1.71,66,142,85,77
2276,2.58,59,167,33,84
1596,2.88,30,102,42,68
1554,2.09,37,91,48,56
2433,1.38,57,154,99,79
425,2.01,54,176,91,66
836,1.28,62,84,38,46
2492,2.77,67,134,75,83
2372,2.68,43,140,85,82
1903,1.9,40,92,69,63
366,1.31,31,180,96,55
532,1.23,59,75,91,67
2456,0.58,59,153,75,70
1469,2.54,33,127,35,67
2458,1.63,42,95,58,70
410,1.31,36,175,48,60
1793,1.68,67,81,44,55
2381,2.55,32,146,86,77
922,0.81,38,180,67,46
1841,2.64,43,146,50,64
1605,2.74,40,71,80,63
2061,2.87,66,101,68,78
2275,1.49,43,119,49,62
1176,1.04,48,164,31,68
2289,1.43,37,130,61,67
1612,1.33,36,80,33,52
1760,0.94,36,170,36,56
2033,2.02,32,137,32,55
1905,1.69,32,103,54,59
1826,2.66,47,149,38,62
1930,0.58,62,164,55,61
1460,2.11,66,158,93,82
1058,2.41,57,172,47,66
542,2.4,65,77,31,53
1363,2.72,45,77,30,54
528,2.32,44,167,77,61
1219,2.82,58,84,92,75
1546,1.33,47,74,65,59
305,1.76,48,88,92,60
767,0.54,58,143,55,48
2055,0.52,35,78,35,33
374,1.1,56,126,55,49
303,0.75,36,123,72,50
2170,1.15,56,98,30,49
945,0.94,48,173,38,61
417,0.57,46,170,56,37
1929,2.77,70,88,100,85
2321,0.52,40,146,32,58
1246,2.34,34,115,90,74
1764,0.88,31,173,31,55
493,2.78,41,149,60,62
1146,2.73,40,131,94,74
1715,2.13,39,163,47,63
1758,2.18,57,129,35,55
1968,0.51,36,74,71,48
1733,2.96,43,102,97,80
1441,2.69,42,152,33,71
2110,2.74,34,124,33,64
1023,2.15,37,88,94,69
524,1.36,30,86,70,44
831,2.73,34,157,72,70
412,1.23,40,161,84,60
2487,1.91,39,111,48,66
858,0.75,44,170,50,50
2348,2.8,68,91,87,91
2437,0.85,58,108,59,54
953,1.06,54,149,36,51
619,1.9,35,168,98,57
1873,2.41,40,96,93,63
2128,2.05,46,145,31,66
2217,1.08,44,115,96,65
438,0.5,45,97,38,46
2326,2.39,31,121,52,67
1201,2.96,65,134,43,77
989,2.52,48,108,83,68
2339,1.65,67,87,74,65
309,2.76,50,156,45,53
560,1.52,40,91,86,46
2242,1.81,70,137,37,72
1973,1.69,32,80,54,64
2360,1.62,63,151,70,72
1491,2.44,47,133,91,79
1919,1.82,44,140,47,63
620,1.29,54,154,79,54
1642,1.15,44,126,70,61
1936,0.59,59,104,63,65
2294,1.96,46,106,41,64
2243,1.07,47,119,71,68
2338,0.87,60,99,84,68
1418,2.13,47,86,88,67
1904,2.2,64,102,80,70
535,2.38,42,85,82,61
2269,1.76,43,84,38,51
633,2.74,65,82,32,59
2208,2.84,47,172,37,84
675,2.52,34,72,88,68
1460,2.09,43,93,59,55
1870,1.26,54,92,96,68
1619,2.96,68,128,84,79
2155,1.19,41,178,63,69
1672,1.01,69,124,72,74
1172,1.61,57,134,57,65
1552,0.64,64,101,66,52
2151,2.95,30,166,59,74
1614,1.97,32,129,100,70
1024,1.89,36,99,91,61
2352,2.14,38,135,58,72
377,1.74,65,87,31,39
431,0.58,52,128,86,60
900,2.03,53,122,86,76
2072,2.29,39,133,71,75
1365,1.54,41,99,78,54
2436,2.39,48,87,86,73
2163,1.07,61,74,100,62
1618,1.05,53,138,47,52
915,0.9,51,77,99,50
2188,1.43,32,78,56,58
1346,2.62,69,101,83,75
874,2.57,56,83,53,67
2490,1.46,48,82,63,56
1292,1.97,38,87,51,50
2492,2.3,42,137,92,71
1548,1.1,31,91,65,52
802,0.92,65,89,90,63
2297,2.93,58,84,71,76
1120,2.04,40,76,62,62
2451,2.95,63,146,38,84
2270,1.34,33,167,54,70
497,2.26,33,174,42,60
1969,1.06,30,99,76,66
1502,1.15,54,74,74,55
1771,1.78,55,70,34,58
1946,1.3,40,129,60,70
1992,0.92,52,100,60,52
1612,1.16,31,89,100,58
2335,0.59,48,152,70,67
777,2.26,58,133,75,62
1554,1.73,69,133,81,68
1222,0.74,33,98,34,50
719,0.93,45,178,41,47
1420,0.76,66,171,50,59
1250,2.03,56,79,38,56
1577,0.74,34,98,46,48
2157,2.39,44,100,53,65
816,0.55,52,144,56,48
1958,1.12,32,156,37,51
2165,2.73,47,99,73,72
1441,2.3,55,94,91,74
2232,0.68,35,149,58,63
1114,2.55,46,127,53,69
2200,1.73,67,126,63,72
2362,2.62,56,156,89,86
2394,2.0,49,132,60,66
429,2.2,35,166,33,52
394,2.98,64,106,38,61
2255,1.08,41,127,83,71
1093,2.06,32,97,30,39
2134,1.65,33,96,90,64
2416,0.6,33,139,60,47
1983,0.54,33,171,74,53
310,0.8,68,106,89,59
2165,2.12,50,75,71,61
1011,1.92,31,158,56,60
2370,1.88,45,146,87,83
1114,0.58,36,131,98,53
645,1.67,48,166,63,54
662,2.81,62,102,39,61
2488,1.49,38,158,95,84
1284,2.06,66,147,54,73
1939,2.45,46,109,32,63
1127,2.46,56,110,63,63
655,1.8,62,111,100,71
1647,2.64,41,171,57,67
2163,1.48,40,78,38,59
426,2.72,42,87,40,50
903,1.1,60,84,68,44
2228,1.2,42,73,42,44
1313,0.63,67,103,40,57
350,2.49,55,131,64,61
1730,1.54,60,107,37,54
2092,1.07,51,150,36,60
1936,1.08,35,140,98,64
1945,2.75,49,165,99,84
1505,2.58,50,92,86,69
2154,1.88,39,89,64,63
866,2.04,48,180,40,66
1235,1.69,64,125,67,57
2234,1.48,55,122,78,77
1632,2.79,36,71,64,59
501,0.81,66,90,58,47
416,1.55,37,145,70,53
1236,1.36,34,111,35,43
874,1.75,65,126,39,62
836,1.64,57,118,52,52
1925,1.8,32,160,75,77
2422,0.85,68,79,41,61
685,1.78,37,141,84,56
774,1.11,44,130,42,41
717,0.96,56,90,36,48
1238,0.66,65,129,41,46
1254,2.41,45,155,90,74
1175,1.57,55,82,54,57
1062,2.07,33,117,31,54
1502,2.32,41,109,55,62
1505,2.2,46,132,80,67
963,1.68,70,145,98,76
324,1.47,55,150,91,52
2290,1.44,60,78,68,66
1503,2.1,44,126,40,54
1009,1.74,63,120,93,63
2179,2.62,58,109,71,79
1484,2.69,38,145,39,62
584,0.93,43,142,48,52
362,0.84,65,133,33,48
1302,2.08,33,163,32,55
961,1.25,67,139,43,55
1792,0.55,66,133,39,50
1266,2.72,53,94,35,63
1148,1.07,46,97,60,58
1407,2.82,42,79,60,58
988,2.29,49,174,77,73
447,2.41,46,97,38,53
641,1.0,56,162,55,48
1386,1.09,62,105,31,46
2024,1.8,50,80,33,48
1683,0.93,46,90,35,50
626,1.26,51,171,59,55
2092,1.3,54,95,84,62
2059,0.9,32,87,57,62
1289,1.01,56,137,90,54
1251,2.47,56,177,84,85
1022,0.92,41,110,65,39
2379,0.57,44,84,34,46
728,2.07,67,92,58,50
1800,2.94,49,110,41,65
585,1.33,51,75,51,42
2365,0.8,31,176,88,65
1068,1.93,33,140,68,62
1694,2.77,42,179,31,76
493,2.46,61,129,43,59
1287,2.06,51,148,39,64
1436,1.29,54,121,77,70
2461,1.85,56,78,93,70
2001,0.73,46,99,32,53
1246,2.2,35,113,89,78
1130,2.31,45,131,97,80
2220,2.91,37,112,50,80
354,1.15,62,97,48,49
1099,0.55,39,163,49,55
1077,1.86,63,77,87,61
1781,2.27,48,168,71,75
2201,2.48,43,120,39,67
2434,0.98,32,168,52,60
354,1.15,70,159,41,54
2123,1.78,52,99,38,58
